Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
Homer's Night Out	1990-03-25	1	10	30.3	7.4	Rich Moore	Jon Vitti
Krusty Gets Busted	1990-04-29	1	12	30.4	8.3	Brad Bird	Jay Kogen & Wallace Wolodarsky
"Bart Gets an ""F"""	1990-10-11	2	1	33.6	8.2	David Silverman	David M. Stern
Two Cars in Every Garage and Three Eyes on Every Fish	1990-11-01	2	4	26.1	8.1	Wes Archer	Sam Simon & John Swartzwelder
Dead Putting Society	1990-11-15	2	6	25.4	8.0	Rich Moore	Jeff Martin
Bart the Daredevil	1990-12-06	2	8	26.2	8.4	Wesley Meyer Archer	Jay Kogen & Wallace Wolodarsky
Bart Gets Hit by a Car	1991-01-10	2	10	24.8	7.8	Mark Kirkland	John Swartzwelder
Homer vs. Lisa and the 8th Commandment	1991-02-07	2	13	26.2	8.0	Rich Moore	Steve Pepoon
Oh Brother, Where Art Thou?	1991-02-21	2	15	26.8	8.2	"W.M. ""Bud"" Archer"	Jeff Martin
Old Money	1991-03-28	2	17	21.2	7.6	David Silverman	Jay Kogen & Wallace Wolodarsky
Lisa's Substitute	1991-04-25	2	19	17.7	8.5	Rich Moore	Jon Vitti
Blood Feud	1991-07-11	2	22	17.3	8.0	David Silverman	George Meyer
Mr. Lisa Goes to Washington	1991-09-26	3	2	20.2	7.7	Wes Archer	George Meyer
Bart the Murderer	1991-10-10	3	4	20.8	8.7	Rich Moore	John Swartzwelder
Like Father, Like Clown	1991-10-24	3	6	20.2	7.7	Jeffrey Lynch & Brad Bird	Jay Kogen & Wallace Wolodarsky
Saturdays of Thunder	1991-11-14	3	9	24.7	7.9	Jim Reardon	Ken Levine & David Isaacs
Burns Verkaufen der Kraftwerk	1991-12-05	3	11	21.1	8.2	Mark Kirkland	Jon Vitti
Radio Bart	1992-01-09	3	13	24.2	8.5	Carlos Baeza	Jon Vitti
Bart the Lover	1992-02-13	3	16	20.5	8.3	Carlos Baeza	Jon Vitti
Separate Vocations	1992-02-27	3	18	23.7	8.2	Jeffrey Lynch	George Meyer
Colonel Homer	1992-03-26	3	20	25.5	7.9	Mark Kirkland	Matt Groening
Bart's Friend Falls in Love	1992-05-07	3	23	19.5	7.8	Jim Reardon	Jay Kogen & Wallace Wolodarsky
Kamp Krusty	1992-09-24	4	1	21.8	8.4	Mark Kirkland	David M. Stern
Itchy & Scratchy: The Movie	1992-11-03	4	6	20.1	8.2	Rich Moore	John Swartzwelder
Lisa's First Word	1992-12-03	4	10	28.6	8.5	Mark Kirkland	Jeff Martin
Selma's Choice	1993-01-21	4	13	24.5	8.0	Carlos Baeza	David M. Stern
The Call of the Simpsons	1990-02-18	1	7	27.6	7.9	Wesley Archer	John Swartzwelder
One Fish, Two Fish, Blowfish, Blue Fish	1991-01-24	2	11	24.2	8.8	David Silverman	Al Jean & Mike Reiss and Sam Simon
Marge in Chains	1993-05-06	4	21	17.3	7.7	Jim Reardon	Bill Oakley & Josh Weinstein
Homer's Barbershop Quartet	1993-09-30	5	1	19.9	8.4	Mark Kirkland	Jeff Martin
Homer Goes to College	1993-10-14	5	3	18.1	8.6	Jim Reardon	Conan O'Brien
Marge on the Lam	1993-11-04	5	6	21.7	8.0	Mark Kirkland	Bill Canterbury
Boy-Scoutz 'n the Hood	1993-11-18	5	8	20.1	8.7	Jeffrey Lynch	Dan McGrath
Homer the Vigilante	1994-01-06	5	11	20.1	8.2	Jim Reardon	John Swartzwelder
Bart Gets Famous	1994-02-03	5	12	20.0	8.1	Susie Dietter	John Swartzwelder
Lisa vs. Malibu Stacy	1994-02-17	5	14	20.5	8.2	Jeffrey Lynch	Bill Oakley & Josh Weinstein
Bart Gets an Elephant	1994-03-31	5	17	17.0	7.9	Jim Reardon	John Swartzwelder
Lady Bouvier's Lover	1994-05-12	5	21	15.1	7.5	Wes Archer	Bill Oakley & Josh Weinstein
Bart of Darkness	1994-09-04	6	1	15.1	8.6	Jim Reardon	Dan McGrath
Itchy & Scratchy Land	1994-10-02	6	4	14.8	8.5	Wes Archer	John Swartzwelder
Lisa on Ice	1994-11-13	6	8	17.9	8.4	Bob Anderson	Mike Scully
Fear of Flying	1994-12-18	6	11	15.6	7.8	Mark Kirkland	David Sacks
And Maggie Makes Three	1995-01-22	6	13	17.3	8.5	Swinton O. Scott III	Jennifer Crittenden
Homie the Clown	1995-02-12	6	15	17.6	8.5	David Silverman	John Swartzwelder
Homer vs. Patty and Selma	1995-02-26	6	17	18.9	7.9	Mark Kirkland	Brent Forrester
Two Dozen and One Greyhounds	1995-04-09	6	20	11.6	8.1	Bob Anderson	Mike Scully
'Round Springfield	1995-04-30	6	22	12.6	8.3	Steven Dean Moore	Teleplay by: Joshua Sternin & Jeffrey Ventimilia Story by: Mike Reiss & Al Jean
Lemon of Troy	1995-05-14	6	24	13.1	8.6	Jim Reardon	Brent Forrester
Radioactive Man	1995-09-24	7	2	15.7	8.3	Susie Dietter	John Swartzwelder
Bart Sells His Soul	1995-10-08	7	4	14.8	8.7	Wesley Archer	Greg Daniels
Treehouse of Horror VI	1995-10-29	7	6	19.7	8.5	Bob Anderson	John Swartzwelder, Steve Tompkins & David S. Cohen
Marge Be Not Proud	1995-12-17	7	11	16.7	8.3	Steven Dean Moore	Mike Scully
Team Homer	1996-01-07	7	12	16.7	8.3	Mark Kirkland	Mike Scully
Bart the Fink	1996-02-11	7	15	15.0	7.7	Jim Reardon	Story by: Bob Kushell Teleplay by: John Swartzwelder
New Kid on the Block	1992-11-12	4	8	23.1	8.2	Wes Archer	Conan O'Brien
22 Short Films About Springfield	1996-04-14	7	21	10.5	8.8	Jim Reardon	Richard Appel, David S. Cohen, Jonathan Collier, Jennifer Crittenden, Greg Daniels, Brent Forrester, Rachel Pulido, Steve Tompkins, Bill Oakley, Josh Weinstein and Matt Groening
Much Apu About Nothing	1996-05-05	7	23	11.3	8.0	Susie Dietter	David S. Cohen
Summer of 4 Ft. 2	1996-05-19	7	25	14.7	8.3	Mark Kirkland	Dan Greaney
Burns, Baby Burns	1996-11-17	8	4	12.6	7.7	Jim Reardon	Ian Maxtone-Graham
Lisa's Date with Density	1996-12-15	8	7	7.2	7.8	Susie Dietter	Mike Scully
The Springfield Files	1997-01-12	8	10	20.9	9.0	Steven Dean Moore	Reid Harrison
The Twisted World of Marge Simpson	1997-01-19	8	11	14.0	7.8	Chuck Sheetz	Jennifer Crittenden
The Itchy & Scratchy & Poochie Show	1997-02-09	8	14	15.5	7.9	Steven Dean Moore	David S. Cohen
Homer's Phobia	1997-02-16	8	15	15.3	8.9	Mike B. Anderson	Ron Hauge
Homer vs. the Eighteenth Amendment	1997-03-16	8	18	14.6	8.7	Bob Anderson	John Swartzwelder
The Canine Mutiny	1997-04-13	8	20	7.1	7.7	Dominic Polcino	Ron Hauge
In Marge We Trust	1997-04-27	8	22	16.9	8.0	Steven Dean Moore	Donick Cary
The Secret War of Lisa Simpson	1997-05-18	8	25	12.7	7.8	Mike B. Anderson	Richard Appel
The Principal and the Pauper	1997-09-28	9	2	14.9	7.4	Steven Dean Moore	Ken Keeler
Bart Star	1997-11-09	9	6	10.6	7.7	Dominic Polcino	Donick Cary
Lisa the Skeptic	1997-11-23	9	8	9.3	8.0	Neil Affleck	David S. Cohen
All Singing, All Dancing	1998-01-04	9	11	8.9	5.1	Mark Kirkland	Steve O'Donnell
The Joy of Sect	1998-02-08	9	13	9.4	8.2	Steven Dean Moore	Steve O'Donnell
This Little Wiggy	1998-03-22	9	18	8.9	7.8	Neil Affleck	Dan Greaney
The Trouble with Trillions	1998-04-05	9	20	7.4	7.9	Swinton O. Scott III	Ian Maxtone-Graham
Trash of the Titans	1998-04-26	9	22	10.2	8.5	Jim Reardon	Ian Maxtone-Graham
Natural Born Kissers	1998-05-17	9	25	8.6	8.1	Klay Hall	Matt Selman
The Wizard of Evergreen Terrace	1998-09-20	10	2	7.95	8.2	Mark Kirkland	John Swartzwelder
Treehouse of Horror IX	1998-10-25	10	4	8.5	8.0	Steven Dean Moore	Donick Cary, Larry Doyle & David S. Cohen
Mayored to the Mob	1998-12-20	10	9	8.5	8.2	Swinton O. Scott III	Ron Hauge
Wild Barts Can't Be Broken	1999-01-17	10	11	8.8	7.7	Mark Ervin	Larry Doyle
Make Room for Lisa	1999-02-28	10	16	7.6	7.5	Matthew Nastuk	Brian Scully
Mom and Pop Art	1999-04-11	10	19	8.5	7.6	Steven Dean Moore	Al Jean
Monty Can't Buy Me Love	1999-05-02	10	21	7.26	7.2	Mark Ervin	John Swartzwelder
Thirty Minutes over Tokyo	1999-05-16	10	23	8.0	7.9	Jim Reardon	Donick Cary & Dan Greaney
Guess Who's Coming to Criticize Dinner?	1999-10-24	11	3	6.7	7.5	Nancy Kruse	Al Jean
E-I-E-I-(Annoyed Grunt)	1999-11-07	11	5	8.4	7.6	Bob Anderson	Ian Maxtone-Graham
Eight Misbehavin'	1999-11-21	11	7	9.2	7.1	Steven Dean Moore	Matt Selman
The Mansion Family	2000-01-23	11	12	11.3	7.3	Michael Polcino	John Swartzwelder
Alone Again, Natura-diddily	2000-02-13	11	14	10.8	7.9	Steven Dean Moore	Ron Hauge
Pygmoelian	2000-02-27	11	16	9.4	7.3	Mark Kirkland	Larry Doyle
Kill the Alligator and Run	2000-04-30	11	19	7.46	6.6	Jen Kamerman	John Swartzwelder
It's a Mad, Mad, Mad, Mad Marge	2000-05-14	11	21	7.5	7.3	Steven Dean Moore	Larry Doyle
Treehouse of Horror XI	2000-11-01	12	1	13.2	7.6	Matthew Nastuk	Rob LaZebnik John Frink & Don Payne Carolyn Omine
Insane Clown Poppy	2000-11-12	12	3	16.4	7.1	Bob Anderson	John Frink & Don Payne
The Computer Wore Menace Shoes	2000-12-03	12	6	15.6	7.7	Mark Kirkland	John Swartzwelder
Pokey Mom	2001-01-14	12	10	15.0	7.3	Bob Anderson	Tom Martin
Day of the Jackanapes	2001-02-18	12	13	15.4	7.2	Michael Marcantel	Al Jean
Hungry, Hungry Homer	2001-03-04	12	15	17.6	7.4	Nancy Kruse	John Swartzwelder
Simpson Safari	2001-04-01	12	17	13.3	6.9	Mark Kirkland	John Swartzwelder
Children of a Lesser Clod	2001-05-13	12	20	13.8	7.3	Mike Polcino	Al Jean
Treehouse of Horror XII	2001-11-06	13	1	13.0	7.5	Jim Reardon	Joel H. Cohen John Frink & Don Payne Carolyn Omine
Homer the Moe	2001-11-18	13	3	14.4	7.2	Jen Kamerman	Dana Gould
The Blunder Years	2001-12-09	13	5	12.9	7.7	Steven Dean Moore	Ian Maxtone-Graham
Half-Decent Proposal	2002-02-10	13	10	13.2	7.5	Lauren MacMullan	Tim Long
The Lastest Gun in the West	2002-02-24	13	12	13.2	6.5	Bob Anderson	John Swartzwelder
Blame It on Lisa	2002-03-31	13	15	11.1	7.0	Steven Dean Moore	Bob Bendetson
Gump Roast	2002-04-21	13	17	12.3	5.6	Mark Kirkland	Deb Lacusta & Dan Castellaneta
Homer's Triple Bypass	1992-12-17	4	11	23.6	8.7	David Silverman	Gary Apple & Michael Carrington
Bart vs. Lisa vs. the Third Grade	2002-11-17	14	3	13.3	7.0	Steven Dean Moore	Tim Long
The Great Louse Detective	2002-12-15	14	6	15.5	7.3	Steven Dean Moore	John Frink & Don Payne
The Dad Who Knew Too Little	2003-01-12	14	8	12.8	7.3	Mark Kirkland	Matt Selman
Pray Anything	2003-02-09	14	10	13.4	6.8	Michael Polcino	Sam O'Neal & Neal Boushell
C.E.D'oh	2003-03-16	14	15	13.0	7.3	Mike B. Anderson	Dana Gould
Three Gays of the Condo	2003-04-13	14	17	12.02	7.2	Mark Kirkland	Matt Warburton
Brake My Wife, Please	2003-05-11	14	20	10.56	6.9	Pete Michels	Tim Long
Moe Baby Blues	2003-05-18	14	22	13.44	7.7	Lauren MacMullan	J. Stewart Burns
My Mother the Carjacker	2003-11-09	15	2	12.4	7.3	Nancy Kruse	Michael Price
The Fat and the Furriest	2003-11-30	15	5	11.7	7.2	Matthew Nastuk	Joel H. Cohen
'Tis the Fifteenth Season	2003-12-14	15	7	11.3	7.2	Steven Dean Moore	Michael Price
I, (Annoyed Grunt)-bot	2004-01-11	15	9	16.3	7.3	Lauren MacMullan	Dan Greaney & Allen Glazier
Smart & Smarter	2004-02-22	15	13	12.6	7.1	Steven Dean Moore	Carolyn Omine
Co-Dependents' Day	2004-03-21	15	15	11.2	6.9	Bob Anderson	Matt Warburton
Catch 'Em If You Can	2004-04-25	15	18	9.3	7.0	Matthew Nastuk	Ian Maxtone-Graham
The Way We Weren't	2004-05-09	15	20	6.6	7.3	Mike B. Anderson	J. Stewart Burns
Fraudcast News	2004-05-23	15	22	9.2	7.2	Bob Anderson	Don Payne
Sleeping with the Enemy	2004-11-21	16	3	9.95	7.1	Lauren MacMullan	Jon Vitti
Fat Man and Little Boy	2004-12-12	16	5	10.31	7.1	Mike B. Anderson	Joel H. Cohen
Mommie Beerest	2005-01-30	16	7	9.97	7.0	Mark Kirkland	Michael Price
There's Something About Marrying	2005-02-20	16	10	10.39	7.1	Nancy Kruse	J. Stewart Burns
Goo Goo Gai Pan	2005-03-13	16	12	10.28	7.0	Lance Kramer	Lawrence Talbot[c]
The Seven-Beer Snitch	2005-04-03	16	14	7.48	6.9	Matthew Nastuk	Bill Odenkirk
The Heartbroke Kid	2005-05-01	16	17	10.79	7.2	Steven Dean Moore	Ian Maxtone-Graham
Thank God It's Doomsday	2005-05-08	16	19	10.05	7.3	Michael Marcantel	Don Payne
The Bonfire of the Manatees	2005-09-11	17	1	11.1	6.3	Mark Kirkland	Dan Greaney
Duffless	1993-02-18	4	16	25.7	8.3	Jim Reardon	David M. Stern
The Last of the Red Hat Mamas	2005-11-27	17	7	11.46	6.7	Matthew Nastuk	Joel H. Cohen
Simpsons Christmas Stories	2005-12-18	17	9	9.8	6.9	Steven Dean Moore	Don Payne
My Fair Laddy	2006-02-26	17	12	9.51	6.4	Bob Anderson	Michael Price
Bart Has Two Mommies	2006-03-19	17	14	8.75	7.0	Mike Marcantel	Dana Gould
Million-Dollar Abie	2006-04-02	17	16	7.83	6.6	Steven Dean Moore	Tim Long
Regarding Margie	2006-05-07	17	20	8.5	6.7	Michael Polcino	Marc Wilmore
The Mook, the Chef, the Wife and Her Homer	2006-09-10	18	1	11.5	7.5	Michael Marcantel	Bill Odenkirk
Please Homer, Don't Hammer 'Em	2006-09-24	18	3	9.72	6.8	Mike B. Anderson & Ralph Sosa	Matt Warburton
G.I. (Annoyed Grunt)	2006-11-12	18	5	11.43	6.9	Nancy Kruse	Daniel Chun
Ice Cream of Margie (with the Light Blue Hair)	2006-11-26	18	7	10.9	7.0	Matthew Nastuk	Carolyn Omine
Kill Gil, Volumes I & II	2006-12-17	18	9	8.96	6.4	Bob Anderson	Jeff Westbrook
Little Big Girl	2007-02-11	18	12	8.27	7.0	Raymond S. Persi	Don Payne
Yokel Chords	2007-03-04	18	14	9.09	7.1	Susie Dietter	Michael Price
Homerazzi	2007-03-25	18	16	6.91	7.2	Matthew Nastuk	J. Stewart Burns
Crook and Ladder	2007-05-06	18	19	7.72	7.1	Lance Kramer	Bill Odenkirk
24 Minutes	2007-05-20	18	21	9.8	8.1	Raymond S. Persi	Billy Kimball & Ian Maxtone-Graham
The Homer of Seville	2007-09-30	19	2	8.4	6.7	Michael Polcino	Carolyn Omine
Little Orphan Millie	2007-11-11	19	6	10.57	6.7	Lance Kramer	Mick Kelly
Funeral for a Fiend	2007-11-25	19	8	9.0	7.1	Rob Oliver	Michael Price
E Pluribus Wiggum	2008-01-06	19	10	8.2	6.9	Michael Polcino	Michael Price
The Debarted	2008-03-02	19	13	8.18	7.7	Matthew Nastuk	Joel H. Cohen
Smoke on the Daughter	2008-03-30	19	15	7.1	6.7	Lance Kramer	Billy Kimball
Apocalypse Cow	2008-04-27	19	17	7.69	6.9	Nancy Kruse	Jeff Westbrook
Mona Leaves-a	2008-05-11	19	19	6.02	7.1	Mike B. Anderson & Ralph Sosa	Joel H. Cohen
Lost Verizon	2008-10-05	20	2	7.43	6.9	Raymond S. Persi	John Frink
Treehouse of Horror XIX	2008-11-02	20	4	12.48	7.1	Bob Anderson	Matt Warburton
So It's Come to This: A Simpsons Clip Show	1993-04-01	4	18	25.5	7.2	Carlos Baeza	Jon Vitti
Gone Maggie Gone	2009-03-15	20	13	5.99	7.2	Chris Clements	Billy Kimball & Ian Maxtone-Graham
Father Knows Worst	2009-04-26	20	18	5.94	7.0	Matthew Nastuk	Rob LaZebnik
Four Great Women and a Manicure	2009-05-10	20	20	5.16	6.3	Raymond S. Persi	Valentina L. Garza
Homer the Whopper	2009-09-27	21	1	8.31	7.1	Lance Kramer	Seth Rogen & Evan Goldberg
Rednecks and Broomsticks	2009-11-29	21	7	9.02	6.8	Bob Anderson & Rob Oliver	Kevin Curran
Thursdays with Abie	2010-01-03	21	9	8.65	6.8	Michael Polcino	Don Payne & Mitchell H. Glazer
Million Dollar Maybe	2010-01-31	21	11	5.11	7.1	Chris Clements	Bill Odenkirk
Postcards from the Wedge	2010-03-14	21	14	5.23	7.1	Mark Kirkland	Brian Kelley
The Greatest Story Ever D'ohed	2010-03-28	21	16	5.69	5.7	Michael Polcino	Kevin Curran
Moe Letter Blues	2010-05-09	21	21	5.66	6.9	Matthew Nastuk	Stephanie Gillis
Judge Me Tender	2010-05-23	21	23	5.74	6.6	Steven Dean Moore	Dan Greaney & Allen Glazier
Loan-a Lisa	2010-10-03	22	2	8.59	6.8	Matthew Faughnan	Valentina L. Garza
Lisa Simpson, This Isn't Your Life	2010-11-14	22	5	8.97	7.2	Matthew Nastuk	Joel H. Cohen
The Fight Before Christmas	2010-12-05	22	8	9.54	6.9	Bob Anderson & Matthew Schofield	Deb Lacusta & Dan Castellaneta
Donnie Fatso	2010-12-12	22	9	7.18	7.0	Ralph Sosa	Chris Cluess
Homer the Father	2011-01-23	22	12	6.5	7.0	Mark Kirkland	Joel H. Cohen
Angry Dad: The Movie	2011-02-20	22	14	6.35	7.2	Matthew Nastuk	John Frink
A Midsummer's Nice Dream	2011-03-13	22	16	5.44	6.1	Steven Dean Moore	Deb Lacusta & Dan Castellaneta
The Great Simpsina	2011-04-10	22	18	4.99	7.0	Chris Clements	Matt Warburton
500 Keys	2011-05-15	22	21	6.0	7.3	Bob Anderson	John Frink
The Falcon and the D'ohman	2011-09-25	23	1	8.08	7.2	Matthew Nastuk	Justin Hurwitz
Treehouse of Horror XXII	2011-10-30	23	3	8.1	6.6	Matthew Faughnan	Carolyn Omine
The Food Wife	2011-11-13	23	5	7.5	7.2	Timothy Bailey	Matt Selman
The Ten-Per-Cent Solution	2011-12-04	23	8	9.01	6.2	Michael Polcino	Deb Lacusta & Dan Castellaneta
Politically Inept, with Homer Simpson	2012-01-08	23	10	5.07	6.1	Mark Kirkland	John Frink
Moe Goes from Rags to Riches	2012-01-29	23	12	5.12	5.7	Bob Anderson	Tim Long
Pranks and Greens	2009-11-22	21	6	7.03	6.7	Chuck Sheetz	Jeff Westbrook
$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)	1993-12-16	5	10	17.9	8.5	Wes Archer	Bill Oakley & Josh Weinstein
Beware My Cheating Bart	2012-04-15	23	18	4.86	7.1	Mark Kirkland	Ben Joseph
The Spy Who Learned Me	2012-05-06	23	20	4.84	6.9	Bob Anderson	Marc Wilmore
Lisa Goes Gaga	2012-05-20	23	22	4.82	4.5	Matthew Schofield	Tim Long
Penny-Wiseguys	2012-11-18	24	5	5.06	6.3	Mark Kirkland	Michael Price
To Cur with Love	2012-12-16	24	8	3.77	7.2	Steven Dean Moore	Carolyn Omine
A Test Before Trying	2013-01-13	24	10	5.04	7.0	Chris Clements	Joel H. Cohen
