Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
Treehouse of Horror VII	1996-10-27	8	1	18.3	8.3	Mike B. Anderson	Ken Keeler, Dan Greaney & David S. Cohen
Brother from Another Series	1997-02-23	8	16	15.1	8.2	Pete Michels	Ken Keeler
The Homer They Fall	1996-11-10	8	3	17.0	8.0	Mark Kirkland	Jonathan Collier
Bart After Dark	1996-11-24	8	5	14.1	8.2	Dominic Polcino	Richard Appel
Lost Our Lisa	1998-05-10	9	24	7.6	7.7	Pete Michels	Brian Scully
Girly Edition	1998-04-19	9	21	8.5	7.9	Mark Kirkland	Larry Doyle
Realty Bites	1997-12-07	9	9	10.6	7.5	Swinton O. Scott III	Dan Greaney
The Old Man and the Lisa	1997-04-20	8	21	14.0	7.9	Mark Kirkland	John Swartzwelder
A Milhouse Divided	1996-12-01	8	6	12.8	8.0	Steven Dean Moore	Steve Tompkins
My Sister, My Sitter	1997-03-02	8	17	15.1	8.1	Jim Reardon	Dan Greaney
The Last Temptation of Krust	1998-02-22	9	15	9.5	7.5	Mike B. Anderson	Donick Cary
The Cartridge Family	1997-11-02	9	5	10.3	8.2	Pete Michels	John Swartzwelder
Grade School Confidential	1997-04-06	8	19	13.3	8.2	Susie Dietter	Rachel Pulido
Hurricane Neddy	1996-12-29	8	8	8.4	8.8	Bob Anderson	Steve Young
Simpson Tide	1998-03-29	9	19	9.0	8.3	Milton Gray	Joshua Sternin & Jennifer Ventimilia
The Simpsons Spin-Off Showcase	1997-05-11	8	24	11.6	7.3	Neil Affleck	Story by: Ken Keeler Teleplay by: David S. Cohen, Dan Greaney and Steve Tompkins
The City of New York vs. Homer Simpson	1997-09-21	9	1	10.5	9.1	Jim Reardon	Ian Maxtone-Graham
Miracle on Evergreen Terrace	1997-12-21	9	10	9.6	7.6	Bob Anderson	Ron Hauge
King of the Hill	1998-05-03	9	23	9.2	8.3	Steven Dean Moore	John Swartzwelder
Das Bus	1998-02-15	9	14	9.6	8.1	Pete Michels	David S. Cohen
Lard of the Dance	1998-08-23	10	1	7.0	7.6	Dominic Polcino	Jane O'Brien
Bart Carny	1998-01-11	9	12	11.7	7.7	Mark Kirkland	John Swartzwelder
Lisa the Simpson	1998-03-08	9	17	10.4	8.0	Susie Dietter	Ned Goldreyer
The Day the Violence Died	1996-03-17	7	18	14.4	8.0	Wesley Archer	John Swartzwelder
When You Dish Upon a Star	1998-11-08	10	5	9.0	7.3	Pete Michels	Richard Appel
"Lisa Gets an ""A"""	1998-11-22	10	7	8.0	8.0	Bob Anderson	Ian Maxtone-Graham
"Homer Simpson in: ""Kidney Trouble"""	1998-12-06	10	8	7.2	7.3	Mike B. Anderson	John Swartzwelder
Lisa the Tree Hugger	2000-11-19	12	4	14.9	7.2	Steven Dean Moore	Matt Selman
Sunday, Cruddy Sunday	1999-01-31	10	12	11.5	6.9	Steven Dean Moore	Tom Martin, George Meyer, Brian Scully & Mike Scully
Maximum Homerdrive	1999-03-28	10	17	15.5	7.6	Swinton O. Scott III	John Swartzwelder
Hello Gutter, Hello Fadder	1999-11-14	11	6	9.2	7.3	Mike B. Anderson	Al Jean
Simpsons Bible Stories	1999-04-04	10	18	12.2	7.3	Nancy Kruse	Tim Long, Larry Doyle & Matt Selman
Tennis the Menace	2001-02-11	12	12	14.0	6.9	Jen Kamerman	Ian Maxtone-Graham
Viva Ned Flanders	1999-01-10	10	10	11.5	7.8	Neil Affleck	David M. Stern
Treehouse of Horror X	1999-10-31	11	4	8.7	7.7	Pete Michels	Donick Cary Tim Long Ron Hauge
Last Tap Dance in Springfield	2000-05-07	11	20	7.3	7.2	Nancy Kruse	Julie Thacker
Brother's Little Helper	1999-10-03	11	2	7.1	7.5	Mark Kirkland	George Meyer
"The Old Man and the ""C"" Student"	1999-04-25	10	20	6.9	7.3	Mark Kirkland	Julie Thacker
